image_index,area,box,color,size,material,label
443,780,68-44-31-30,brown,small,metal,sphere
443,445,39-66-23-22,green,small,metal,cube
443,444,164-69-22-24,green,small,rubber,cube
101,382,130-60-20-21,cyan,small,rubber,cylinder
101,1861,153-50-48-48,cyan,large,rubber,sphere
168,1285,61-28-40-38,gray,small,rubber,cube
168,361,67-93-20-21,cyan,small,rubber,sphere
168,879,140-48-33-34,gray,small,metal,sphere
168,922,121-21-30-32,gray,small,rubber,cube
168,545,178-74-26-26,red,small,rubber,cube
168,1833,194-48-45-48,gray,large,rubber,cylinder
168,1991,104-59-41-53,green,large,rubber,cylinder
830,1004,90-27-33-33,brown,small,rubber,cube
830,1089,40-38-32-38,blue,small,rubber,cube
830,1253,49-77-39-39,blue,small,rubber,sphere
830,334,194-64-22-20,green,small,rubber,cube
830,495,182-76-25-25,red,small,rubber,cube
807,1447,77-88-42-43,purple,large,metal,sphere
807,383,176-64-20-20,purple,small,rubber,cube
807,1560,98-55-40-45,yellow,large,rubber,cube
288,486,38-78-21-25,purple,small,rubber,cube
288,1261,136-32-33-41,purple,small,metal,cube
288,609,138-96-23-29,yellow,small,rubber,cube
288,1207,165-58-38-38,red,small,rubber,sphere
240,2928,53-74-58-65,blue,large,rubber,cube
240,1183,177-43-36-43,blue,small,rubber,cube
240,1886,145-59-42-51,purple,large,rubber,cylinder
240,749,100-21-33-31,cyan,small,rubber,cylinder
111,649,72-30-27-28,green,small,rubber,sphere
111,517,86-86-20-26,gray,small,rubber,sphere
111,726,147-35-29-30,cyan,small,metal,sphere
111,1334,176-48-39-47,purple,large,rubber,cube
111,2335,144-70-46-57,cyan,large,rubber,cylinder
111,1875,21-44-49-46,yellow,large,rubber,cube
356,477,28-61-24-24,blue,small,metal,sphere
356,1404,74-32-38-41,green,large,rubber,cube
356,407,116-57-20-21,blue,small,rubber,cube
356,508,134-83-20-26,red,small,rubber,cylinder
356,1180,156-58-39-37,brown,small,metal,sphere
934,1002,7-49-36-34,cyan,small,metal,sphere
934,1103,80-37-32-41,green,small,rubber,cube
934,1553,151-47-38-45,red,large,rubber,cylinder
934,1161,56-60-37-38,green,small,rubber,sphere
749,912,77-52-33-33,purple,small,rubber,sphere
749,1168,116-36-31-39,cyan,small,metal,cube
749,681,185-45-31-32,cyan,small,metal,sphere
749,1348,124-78-40-40,gray,large,rubber,sphere
749,1584,27-41-44-46,yellow,large,rubber,cube
749,1576,154-53-39-48,green,large,rubber,cube
753,469,97-83-18-26,yellow,small,rubber,cube
753,1383,150-43-35-43,blue,large,rubber,sphere
753,1762,49-49-40-56,purple,large,rubber,cube
753,977,107-21-32-33,blue,small,metal,cube
119,2196,64-58-45-51,gray,large,rubber,sphere
119,482,128-25-27-28,cyan,small,metal,sphere
119,540,157-72-24-24,red,small,metal,cube
119,1489,105-40-38-44,purple,large,rubber,cube
445,2917,61-74-55-64,blue,large,rubber,cube
333,416,104-57-21-22,cyan,small,rubber,sphere
333,477,75-79-19-26,red,small,rubber,cube
333,455,154-62-23-24,blue,small,rubber,cube
333,524,127-86-20-27,cyan,small,rubber,cube
333,465,188-76-21-24,red,small,metal,cube
333,1673,17-48-42-47,gray,large,rubber,sphere
530,1206,174-37-35-39,red,small,rubber,cube
530,671,148-89-27-29,purple,small,rubber,cube
530,762,117-102-26-32,cyan,small,rubber,cube
530,1208,55-62-39-38,green,small,metal,sphere
530,1444,163-37-46-50,red,large,rubber,cylinder
323,1151,37-36-33-38,cyan,small,metal,cube
323,2760,62-86-49-64,red,large,rubber,cylinder
323,2082,171-58-49-54,purple,large,rubber,cube
323,622,191-45-36-41,red,small,rubber,sphere
832,1395,31-38-37-43,gray,large,rubber,cylinder
832,1048,63-27-31-38,cyan,small,rubber,cube
832,1340,66-68-41-40,purple,large,rubber,sphere
832,968,100-120-30-37,blue,small,metal,cylinder
174,738,66-96-28-31,blue,small,rubber,cube
174,1146,144-39-33-41,blue,small,rubber,cube
174,415,130-32-25-28,green,small,metal,sphere
174,1848,169-57-42-50,purple,large,rubber,cylinder
174,1514,59-48-36-45,red,large,rubber,cylinder
174,515,111-72-23-25,green,small,rubber,cube
284,577,122-26-26-26,purple,small,rubber,sphere
284,533,172-82-22-24,blue,small,rubber,cube
284,1677,131-51-38-48,green,large,rubber,cube
462,449,104-112-22-23,red,small,metal,sphere
462,340,148-90-20-20,cyan,small,metal,sphere
462,1681,60-45-42-47,brown,large,rubber,cube
149,594,126-31-26-27,cyan,small,rubber,sphere
149,1518,101-91-42-43,red,large,rubber,sphere
149,2085,34-58-51-53,gray,large,rubber,sphere
149,966,163-56-34-34,green,small,rubber,sphere
149,1531,93-44-39-44,cyan,large,rubber,cube
613,950,63-32-29-35,blue,small,rubber,cube
613,519,159-82-24-26,yellow,small,rubber,cube
684,660,79-100-24-31,blue,small,rubber,cube
