image_index,area,box,file
443,1693,330-139-43-49,cache/1755159070392.png
443,1758,78-131-48-46,cache/1755159070464.png
443,3108,136-87-62-62,cache/1755159070474.png
101,1514,261-120-40-44,cache/1755159071188.png
101,7433,307-99-96-99,cache/1755159071198.png
101,8923,261-99-142-99,cache/1755159071210.png
168,2170,357-147-52-54,cache/1755159072169.png
168,1405,134-186-41-41,cache/1755159072176.png
168,3704,241-42-62-66,cache/1755159072182.png
168,7321,359-95-120-98,cache/1755159072189.png
168,3460,280-97-67-67,cache/1755159072199.png
168,2192,208-118-82-34,cache/1755159072213.png
168,5164,122-56-81-78,cache/1755159072219.png
168,7917,208-118-82-106,cache/1755159072226.png
830,1335,389-129-45-41,cache/1755159072933.png
830,1423,277-141-35-44,cache/1755159072939.png
830,1972,363-152-51-51,cache/1755159072945.png
830,5050,98-153-80-79,cache/1755159072951.png
830,3978,181-53-65-68,cache/1755159072958.png
830,4399,80-77-66-76,cache/1755159072964.png
807,1523,309-127-85-41,cache/1755159073734.png
807,1503,354-128-40-40,cache/1755159073743.png
807,5738,153-177-85-85,cache/1755159073751.png
807,6215,196-109-82-93,cache/1755159073758.png
288,2408,277-192-45-60,cache/1755159074554.png
288,1422,131-185-41-42,cache/1755159074563.png
288,1952,76-156-43-52,cache/1755159074570.png
288,4737,330-116-78-76,cache/1755159074577.png
288,5049,272-63-68-84,cache/1755159074584.png
288,1953,24-126-52-51,cache/1755159074592.png
240,11754,107-147-116-132,cache/1755159075375.png
240,4768,354-85-73-88,cache/1755159075387.png
240,2367,225-78-61-61,cache/1755159075396.png
240,2204,295-118-79-34,cache/1755159075404.png
240,2968,199-43-68-64,cache/1755159075411.png
240,2981,199-43-68-92,cache/1755159075418.png
240,7525,291-118-83-104,cache/1755159075426.png
111,9334,287-140-93-116,cache/1755159076249.png
111,2059,172-172-41-54,cache/1755159076264.png
111,5305,353-97-78-93,cache/1755159076272.png
111,2891,294-71-60-59,cache/1755159076281.png
111,7494,43-87-99-93,cache/1755159076287.png
111,2569,143-60-56-57,cache/1755159076294.png
111,3477,143-60-114-57,cache/1755159076300.png
356,2037,268-166-41-54,cache/1755159076975.png
356,4671,313-116-77-75,cache/1755159076983.png
356,1631,232-113-41-45,cache/1755159076991.png
356,5607,147-63-78-84,cache/1755159076998.png
356,1890,56-122-50-48,cache/1755159077006.png
934,6167,303-93-76-92,cache/1755159077668.png
934,3963,15-98-72-69,cache/1755159077675.png
934,4394,160-75-66-82,cache/1755159077681.png
934,4622,112-121-76-76,cache/1755159077688.png
749,5401,249-155-81-83,cache/1755159078499.png
749,4621,232-72-63-80,cache/1755159078509.png
749,2694,370-91-62-63,cache/1755159078518.png
749,3625,154-104-67-67,cache/1755159078526.png
