,json_image_index,json_color,json_size,json_material,json_shape,json_pixel_coords,csv_area,csv_box,file,csv_color,csv_size,csv_material,csv_label
0,0,brown,large,rubber,cylinder,"[119, 131, 10.801968574523926]",6735.0,"[79, 87, 75, 89]",cache/1756274465001.png,,,,
1,0,gray,large,rubber,cube,"[198, 190, 8.60103988647461]",14597.0,"[140, 130, 115, 126]",cache/1756274464953.png,,,,
2,0,green,small,rubber,cylinder,"[161, 118, 12.372727394104004]",992.0,"[150, 98, 25, 38]",cache/1756274465012.png,,,,
3,0,purple,large,metal,sphere,"[282, 100, 12.495001792907715]",3571.0,"[252, 69, 59, 59]",cache/1756274464976.png,,,,
4,0,gray,small,metal,cube,"[337, 195, 9.161211967468262]",3413.0,"[307, 166, 58, 58]",cache/1756274464966.png,,,,
5,1,blue,small,metal,cylinder,"[227, 114, 12.651700019836426]",1132.0,"[211, 95, 29, 37]",cache/1756274451813.png,,,,
6,1,blue,large,rubber,cylinder,"[419, 128, 11.159161567687988]",6646.0,"[384, 85, 75, 87]",cache/1756274451801.png,,,,
7,1,purple,large,metal,sphere,"[382, 168, 9.672847747802734]",6183.0,"[343, 128, 79, 77]",cache/1756274451767.png,,,,
8,1,yellow,small,metal,cube,"[299, 102, 13.345067024230957]",7690.0,"[263, 96, 80, 96]",cache/1756274451818.png,,,,
9,1,gray,large,metal,cylinder,"[85, 127, 11.196852684020996]",6761.0,"[44, 84, 77, 87]",cache/1756274451796.png,,,,
10,1,cyan,small,metal,cube,"[200, 92, 13.94270133972168]",1333.0,"[181, 73, 36, 36]",cache/1756274451786.png,,,,
11,1,cyan,small,rubber,cylinder,"[286, 229, 8.604046821594238]",2742.0,"[263, 198, 45, 60]",cache/1756274451781.png,,,,
12,1,blue,large,metal,cube,"[304, 144, 10.518533706665039]",7690.0,"[263, 96, 80, 96]",cache/1756274451818.png,,,,
13,1,green,small,metal,cylinder,"[133, 180, 9.971955299377441]",2039.0,"[112, 154, 40, 50]",cache/1756274451776.png,,,,
14,1,yellow,small,rubber,cylinder,"[173, 210, 9.074959754943848]",2443.0,"[150, 182, 43, 56]",cache/1756274451808.png,,,,
15,2,purple,large,metal,cube,"[349, 113, 12.158169746398926]",5602.0,"[315, 73, 69, 80]",cache/1756274555874.png,,,,
16,2,yellow,large,metal,sphere,"[223, 86, 13.650497436523438]",2982.0,"[196, 58, 54, 55]",cache/1756274555894.png,,,,
17,2,blue,small,metal,cube,"[67, 146, 11.473008155822754]",1852.0,"[44, 124, 44, 42]",cache/1756274555859.png,,,,
18,2,green,small,metal,sphere,"[270, 187, 9.986722946166992]",12239.0,"[194, 171, 94, 129]",cache/1756274555903.png,,,,
19,2,purple,large,metal,cylinder,"[404, 156, 10.361809730529785]",8068.0,"[363, 108, 84, 95]",cache/1756274555915.png,,,,
20,2,brown,small,metal,cylinder,"[166, 111, 13.157706260681152]",1086.0,"[150, 92, 29, 36]",cache/1756274555939.png,,,,
21,2,gray,large,rubber,cylinder,"[242, 235, 8.121735572814941]",12239.0,"[194, 171, 94, 129]",cache/1756274555903.png,,,,
22,2,yellow,large,rubber,cube,"[180, 185, 9.410319328308105]",9920.0,"[135, 131, 89, 110]",cache/1756274555884.png,,,,
23,3,yellow,small,rubber,sphere,"[197, 247, 8.038165092468262]",2181.0,"[173, 223, 45, 47]",cache/1756274413068.png,,,,
24,3,purple,large,metal,sphere,"[249, 81, 13.48475170135498]",3092.0,"[221, 52, 54, 56]",cache/1756274413063.png,,,,
25,3,blue,large,metal,cylinder,"[315, 90, 12.911911010742188]",4292.0,"[286, 53, 59, 71]",cache/1756274413078.png,,,,
26,3,gray,large,rubber,cube,"[87, 159, 9.787914276123047]",9581.0,"[36, 109, 94, 101]",cache/1756274413073.png,,,,
27,3,brown,small,metal,cylinder,"[152, 151, 10.821432113647461]",1667.0,"[133, 128, 36, 45]",cache/1756274413084.png,,,,
28,3,purple,large,metal,sphere,"[299, 120, 11.346577644348145]",4292.0,"[286, 53, 59, 71]",cache/1756274413078.png,,,,
29,3,brown,small,rubber,cylinder,"[181, 121, 12.15542221069336]",1257.0,"[164, 100, 31, 39]",cache/1756274413088.png,,,,
30,4,red,small,rubber,sphere,"[110, 154, 10.136273384094238]",927.0,"[90, 135, 31, 29]",cache/1756274355667.png,,,,
31,4,brown,large,rubber,sphere,"[137, 183, 8.460342407226562]",7942.0,"[91, 138, 88, 89]",cache/1756274355633.png,,,,
32,4,purple,small,rubber,cylinder,"[241, 103, 12.526554107666016]",1155.0,"[225, 83, 30, 37]",cache/1756274355657.png,,,,
33,4,gray,large,rubber,cylinder,"[393, 153, 9.417881965637207]",9633.0,"[348, 101, 91, 104]",cache/1756274355661.png,,,,
34,4,gray,large,metal,sphere,"[330, 105, 11.473976135253906]",4348.0,"[297, 71, 65, 66]",cache/1756274355649.png,,,,
35,4,green,large,rubber,cylinder,"[59, 121, 10.705843925476074]",7404.0,"[15, 76, 81, 90]",cache/1756274355644.png,,,,
36,5,yellow,small,rubber,cube,"[268, 119, 12.629888534545898]",1613.0,"[248, 98, 39, 40]",cache/1756274429501.png,,,,
37,5,gray,large,metal,sphere,"[186, 139, 10.785597801208496]",4830.0,"[150, 104, 69, 69]",cache/1756274429484.png,,,,
38,5,blue,small,metal,cube,"[158, 128, 12.150248527526855]",1176.0,"[141, 107, 29, 40]",cache/1756274429506.png,,,,
39,5,yellow,large,metal,sphere,"[288, 83, 13.830824851989746]",2876.0,"[260, 55, 53, 53]",cache/1756274429495.png,,,,
40,5,blue,small,metal,cube,"[206, 220, 8.803750991821289]",3580.0,"[176, 189, 56, 63]",cache/1756274429511.png,,,,
41,5,yellow,large,rubber,sphere,"[103, 159, 10.017038345336914]",5735.0,"[63, 121, 76, 75]",cache/1756274429490.png,,,,
42,5,yellow,large,metal,sphere,"[347, 124, 11.466705322265625]",4295.0,"[314, 91, 65, 65]",cache/1756274429476.png,,,,
43,6,blue,large,metal,cube,"[340, 127, 10.360729217529297]",10196.0,"[290, 78, 100, 101]",cache/1756274498599.png,,,,
44,6,green,large,rubber,cube,"[98, 143, 9.759612083435059]",11298.0,"[44, 90, 104, 108]",cache/1756274498607.png,,,,
45,6,gray,small,rubber,sphere,"[226, 222, 8.104061126708984]",2183.0,"[203, 198, 45, 47]",cache/1756274498613.png,,,,
46,7,brown,small,rubber,cube,"[265, 109, 13.491819381713867]",1209.0,"[247, 91, 33, 36]",cache/1756274484221.png,,,,
47,7,cyan,small,rubber,cylinder,"[206, 158, 10.928881645202637]",1579.0,"[188, 135, 35, 45]",cache/1756274484217.png,,,,
48,7,brown,large,rubber,cube,"[62, 132, 11.29162883758545]",7362.0,"[15, 89, 86, 85]",cache/1756274484209.png,,,,
49,7,gray,small,rubber,sphere,"[307, 139, 11.780797958374023]",1004.0,"[291, 123, 31, 31]",cache/1756274484225.png,,,,
50,8,yellow,large,rubber,cylinder,"[255, 73, 14.241673469543457]",3490.0,"[228, 40, 53, 65]",cache/1756274287777.png,,,,
51,8,purple,small,metal,cube,"[139, 208, 8.831962585449219]",3244.0,"[112, 178, 52, 61]",cache/1756274287741.png,,,,
52,8,gray,small,metal,sphere,"[191, 156, 10.552912712097168]",1246.0,"[172, 138, 35, 35]",cache/1756274287757.png,,,,
53,8,purple,small,rubber,cylinder,"[339, 116, 12.412002563476562]",1246.0,"[322, 96, 32, 38]",cache/1756274287772.png,,,,
54,8,brown,small,rubber,cube,"[71, 133, 11.573548316955566]",2083.0,"[47, 110, 46, 45]",cache/1756274287752.png,,,,
55,8,yellow,large,metal,sphere,"[220, 92, 12.925015449523926]",3267.0,"[190, 62, 56, 58]",cache/1756274287767.png,,,,
56,8,purple,large,metal,sphere,"[416, 124, 11.126094818115234]",4736.0,"[381, 90, 69, 67]",cache/1756274287733.png,,,,
57,8,yellow,small,metal,cube,"[244, 222, 8.477126121520996]",3924.0,"[214, 189, 59, 66]",cache/1756274287746.png,,,,
58,8,brown,small,rubber,sphere,"[308, 185, 9.518709182739258]",1531.0,"[288, 165, 38, 39]",cache/1756274287762.png,,,,
59,9,gray,large,rubber,cube,"[185, 163, 9.987650871276855]",11005.0,"[132, 111, 102, 107]",cache/1756274371842.png,,,,
60,9,brown,small,metal,sphere,"[261, 111, 13.180752754211426]",776.0,"[247, 97, 27, 28]",cache/1756274371865.png,,,,
