cache_name,capacity,theta,time,hitRatio,totalReq,gets,hits,recomputeCost
LRU,100,0.9,45863, 0.2815126050420168, 33129, 19278, 5427, 36495.0
LRU,100,0.8,48349, 0.28879310344827586, 35333, 20648, 5963, 38873.0
LRU,100,0.7,50496, 0.2670081175106301, 35866, 20696, 5526, 40553.0
LRU,100,0.6,51713, 0.24410422213769495, 36930, 21032, 5134, 41762.0
LRU,100,0.5,52448, 0.27303329336899385, 37451, 21686, 5921, 42028.0
LRU,200,0.9,35797, 0.3272432932469935, 28932, 17296, 5660, 29903.0
LRU,200,0.8,42502, 0.3280816996818228, 32579, 19486, 6393, 33959.0
LRU,200,0.7,45909, 0.29904952476238117, 34002, 19990, 5978, 36343.0
LRU,200,0.6,46464, 0.28018774703557314, 34809, 20240, 5671, 37694.0
LRU,200,0.5,48769, 0.2811361981063365, 35400, 20595, 5790, 38964.0
LRU,300,0.9,30480, 0.4251653324051514, 27147, 17238, 7329, 25186.0
LRU,300,0.8,35975, 0.38334434897554526, 29352, 18156, 6960, 28910.0
LRU,300,0.7,41895, 0.3376162820578712, 32345, 19457, 6569, 32749.0
LRU,300,0.6,43259, 0.3244354224816037, 33017, 19705, 6393, 34148.0
LRU,300,0.5,46370, 0.29221916437327994, 34130, 19985, 5840, 36545.0
LRU,400,0.9,28872, 0.45275615467375485, 24448, 15801, 7154, 22030.0
LRU,400,0.8,31682, 0.4510672573499799, 26922, 17381, 7840, 24384.0
LRU,400,0.7,37605, 0.3661030061892131, 29567, 18096, 6625, 29182.0
LRU,400,0.6,40029, 0.33466703206357906, 30384, 18245, 6106, 31044.0
LRU,400,0.5,45228, 0.338599531138518, 32600, 19622, 6644, 35169.0
LRU,500,0.9,24387, 0.5172093023255814, 22316, 15050, 7784, 18315.0
LRU,500,0.8,27006, 0.49157408563225563, 24168, 16022, 7876, 20592.0
LRU,500,0.7,33579, 0.40180075515538777, 27513, 17215, 6917, 25872.0
LRU,500,0.6,37106, 0.39194551694551694, 29987, 18648, 7309, 28482.0
LRU,500,0.5,39405, 0.3469142545057346, 30268, 18310, 6352, 30364.0
LFU,100,0.9,46853, 0.23967559492049942, 32992, 18742, 4492, 37827.0
LFU,100,0.8,52119, 0.13609860883797054, 36443, 19552, 2661, 42410.0
LFU,100,0.7,56883, 0.14424757854949208, 39277, 21165, 3053, 45968.0
LFU,100,0.6,57406, 0.11905763567522086, 40239, 21393, 2547, 46232.0
LFU,100,0.5,57883, 0.12065592099133514, 40342, 21466, 2590, 47107.0
LFU,200,0.9,32955, 0.3695832007636016, 25622, 15715, 5808, 25462.0
LFU,200,0.8,40146, 0.35386204272435723, 30284, 18397, 6510, 31455.0
LFU,200,0.7,45353, 0.2541957677473157, 33495, 19186, 4877, 35778.0
LFU,200,0.6,53243, 0.2205778050971677, 37633, 21149, 4665, 42609.0
LFU,200,0.5,51883, 0.2129384099664782, 35718, 19987, 4256, 40864.0
LFU,300,0.9,26859, 0.4943456120626943, 22767, 15121, 7475, 20371.0
LFU,300,0.8,31735, 0.4317301686445971, 25108, 16010, 6912, 24184.0
LFU,300,0.7,40231, 0.3626048071548351, 29293, 17890, 6487, 31807.0
LFU,300,0.6,43848, 0.310288196651833, 31895, 18876, 5857, 34533.0
LFU,300,0.5,44163, 0.310580204778157, 32670, 19338, 6006, 35560.0
LFU,400,0.9,21103, 0.5737948609046507, 20148, 14127, 8106, 15813.0
LFU,400,0.8,24673, 0.5542648306467401, 22153, 15323, 8493, 18817.0
LFU,400,0.7,33010, 0.45603488920320606, 26198, 16968, 7738, 25617.0
LFU,400,0.6,33549, 0.42626412509987444, 27575, 17522, 7469, 26131.0
LFU,400,0.5,35173, 0.41100033605914643, 28370, 17854, 7338, 27904.0
LFU,500,0.9,18688, 0.6402358654179674, 19601, 14415, 9229, 13826.0
LFU,500,0.8,21497, 0.6211979722518677, 20671, 14992, 9313, 15841.0
LFU,500,0.7,24439, 0.5734052228140835, 21961, 15394, 8827, 18065.0
LFU,500,0.6,27799, 0.5296038174169649, 23419, 15927, 8435, 20620.0
LFU,500,0.5,30369, 0.5102176140816204, 24714, 16589, 8464, 22739.0
Random,100,0.9,47192, 0.2904393284407359, 34010, 19894, 5778, 37552.0
Random,100,0.8,51189, 0.29810658188202915, 35864, 21073, 6282, 40034.0
Random,100,0.7,52720, 0.27541633249988207, 36556, 21197, 5838, 41397.0
Random,100,0.6,54385, 0.24723493516399694, 36766, 20976, 5186, 42562.0
Random,100,0.5,53970, 0.26672840935401715, 37430, 21595, 5760, 42445.0
Random,200,0.9,41372, 0.3606513614522157, 30705, 18730, 6755, 31995.0
Random,200,0.8,44217, 0.3529559621958576, 32763, 19892, 7021, 34382.0
Random,200,0.7,47579, 0.31415202349544524, 33867, 20089, 6311, 36799.0
Random,200,0.6,46491, 0.32217772692601065, 35194, 20976, 6758, 37915.0
Random,200,0.5,50178, 0.28563089794727115, 35244, 20558, 5872, 39552.0
Random,300,0.9,36613, 0.4211919069408457, 28638, 18139, 7640, 28199.0
Random,300,0.8,38972, 0.38056527590847916, 30081, 18575, 7069, 30628.0
Random,300,0.7,42416, 0.3623151191454396, 31889, 19472, 7055, 32942.0
Random,300,0.6,44720, 0.3268803073190457, 33101, 19784, 6467, 34918.0
Random,300,0.5,46616, 0.346115132051958, 34505, 20863, 7221, 36455.0
Random,400,0.9,32341, 0.46078716353700366, 26476, 17201, 7926, 24694.0
Random,400,0.8,35063, 0.45036754696433434, 28459, 18365, 8271, 26843.0
Random,400,0.7,39947, 0.39662381101703775, 30679, 19134, 7589, 30592.0
Random,400,0.6,41374, 0.3726604452322611, 31214, 19181, 7148, 31990.0
Random,400,0.5,43477, 0.37237965348285096, 32222, 19797, 7372, 33379.0
Random,500,0.9,29159, 0.5089419223637778, 24929, 16719, 8509, 21916.0
Random,500,0.8,32510, 0.47485232551471007, 26594, 17437, 8280, 24451.0
Random,500,0.7,34116, 0.44522929797870026, 28614, 18404, 8194, 26801.0
Random,500,0.6,38493, 0.4012419006479482, 29609, 18520, 7431, 29392.0
Random,500,0.5,39197, 0.4098360655737705, 30652, 19276, 7900, 29986.0
LDC-E,100,0.9,33607, 0.35081863979848865, 26189, 15880, 5571, 25849.0
LDC-E,100,0.8,38395, 0.34252990295644326, 29377, 17724, 6071, 29628.0
LDC-E,100,0.7,41136, 0.31209059620295326, 30406, 18014, 5622, 31774.0
LDC-E,100,0.6,43935, 0.2845537145911277, 32096, 18710, 5324, 34382.0
LDC-E,100,0.5,47116, 0.2747603833865815, 33480, 19406, 5332, 36845.0
LDC-E,200,0.9,21542, 0.4981998847926267, 20857, 13888, 6919, 16191.0
LDC-E,200,0.8,25356, 0.453180561043066, 23490, 15186, 6882, 19722.0
LDC-E,200,0.7,30784, 0.41340614498319733, 26439, 16664, 6889, 23457.0
LDC-E,200,0.6,34604, 0.36840574652474845, 28052, 17193, 6334, 26260.0
LDC-E,200,0.5,37575, 0.34012504186669645, 29735, 17914, 6093, 28743.0
LDC-E,300,0.9,16586, 0.5714509803921569, 18214, 12750, 7286, 12183.0
LDC-E,300,0.8,19911, 0.5494779060922481, 20976, 14461, 7946, 14649.0
LDC-E,300,0.7,23783, 0.4748023375730492, 22184, 14545, 6906, 17606.0
LDC-E,300,0.6,25222, 0.45811345646437995, 23375, 15160, 6945, 18892.0
LDC-E,300,0.5,27570, 0.4438479305824334, 24928, 16019, 7110, 20633.0
LDC-E,400,0.9,12618, 0.6577867203219316, 16677, 12425, 8173, 8933.0
LDC-E,400,0.8,14630, 0.6230257045524931, 17785, 12916, 8047, 10357.0
LDC-E,400,0.7,16445, 0.5872324990932173, 19475, 13785, 8095, 11890.0
LDC-E,400,0.6,16869, 0.5664050709326894, 18998, 13252, 7506, 12125.0
LDC-E,400,0.5,18982, 0.5386900551704625, 20660, 14138, 7616, 13658.0
LDC-E,500,0.9,11673, 0.7235216603524954, 15499, 12142, 8785, 7057.0
LDC-E,500,0.8,11050, 0.7216799091940976, 16893, 13215, 9537, 7409.0
LDC-E,500,0.7,11401, 0.6959827943774484, 16977, 13019, 9061, 7786.0
